CountyID,Day,CompWL,CountWL,site_serial
GRV-3342,7/9/2016 0:00:00,42.298063051,24,9100399
GRV-3342,7/10/2016 0:00:00,42.317715318,24,9100399
GRV-3342,7/11/2016 0:00:00,42.345184468,24,9100399
GRV-3342,7/12/2016 0:00:00,42.350489655,24,9100399
GRV-3342,7/13/2016 0:00:00,42.365131481,24,9100399
GRV-3342,7/14/2016 0:00:00,42.352702905,24,9100399
GRV-3342,7/15/2016 0:00:00,42.361613456,24,9100399
GRV-3342,7/16/2016 0:00:00,42.400223997,24,9100399
GRV-3342,7/17/2016 0:00:00,42.439099214,24,9100399
GRV-3342,7/18/2016 0:00:00,42.448994164,24,9100399
GRV-3342,7/19/2016 0:00:00,42.439186351,24,9100399
GRV-3342,7/20/2016 0:00:00,42.449394288,24,9100399
GRV-3342,7/21/2016 0:00:00,42.456620959,24,9100399
GRV-3342,7/22/2016 0:00:00,42.445634238,24,9100399
GRV-3342,7/23/2016 0:00:00,42.439668414,24,9100399
GRV-3342,7/24/2016 0:00:00,42.470751054,24,9100399
GRV-3342,7/25/2016 0:00:00,42.485384223,24,9100399
GRV-3342,7/26/2016 0:00:00,42.490068093,24,9100399
GRV-3342,7/27/2016 0:00:00,42.502151422,24,9100399
GRV-3342,7/28/2016 0:00:00,42.501152117,24,9100399
GRV-3342,7/29/2016 0:00:00,42.520732543,24,9100399
GRV-3342,7/30/2016 0:00:00,42.547327613,24,9100399
GRV-3342,7/31/2016 0:00:00,42.566837155,24,9100399
GRV-3342,8/1/2016 0:00:00,42.593641011,24,9100399
GRV-3342,8/2/2016 0:00:00,42.591638268,24,9100399
GRV-3342,8/3/2016 0:00:00,42.596897384,24,9100399
GRV-3342,8/4/2016 0:00:00,42.611716443,24,9100399
GRV-3342,8/5/2016 0:00:00,42.608732247,24,9100399
GRV-3342,8/6/2016 0:00:00,42.603099434,24,9100399
GRV-3342,8/7/2016 0:00:00,42.625260882,24,9100399
GRV-3342,8/8/2016 0:00:00,42.662551872,24,9100399
GRV-3342,8/9/2016 0:00:00,42.696349680,24,9100399
GRV-3342,8/10/2016 0:00:00,42.732420671,24,9100399
GRV-3342,8/11/2016 0:00:00,42.721969547,24,9100399
GRV-3342,8/12/2016 0:00:00,42.696212555,24,9100399
GRV-3342,8/13/2016 0:00:00,42.716367953,24,9100399
GRV-3342,8/14/2016 0:00:00,42.758903906,24,9100399
GRV-3342,8/15/2016 0:00:00,42.786826160,24,9100399
GRV-3342,8/16/2016 0:00:00,42.798233756,24,9100399
GRV-3342,8/17/2016 0:00:00,42.787741431,24,9100399
GRV-3342,8/18/2016 0:00:00,42.783743897,24,9100399
GRV-3342,8/19/2016 0:00:00,42.774938001,24,9100399
GRV-3342,8/20/2016 0:00:00,42.767270603,24,9100399
GRV-3342,8/21/2016 0:00:00,42.786859988,24,9100399
GRV-3342,8/22/2016 0:00:00,42.873444709,24,9100399
GRV-3342,8/23/2016 0:00:00,42.912034480,24,9100399
GRV-3342,8/24/2016 0:00:00,42.903336418,24,9100399
GRV-3342,8/25/2016 0:00:00,42.872784587,24,9100399
GRV-3342,8/26/2016 0:00:00,42.874026961,24,9100399
GRV-3342,8/27/2016 0:00:00,42.903813455,24,9100399
GRV-3342,8/28/2016 0:00:00,42.934325955,24,9100399
GRV-3342,8/29/2016 0:00:00,42.934461547,24,9100399
GRV-3342,8/30/2016 0:00:00,42.933707026,24,9100399
GRV-3342,8/31/2016 0:00:00,42.915075161,24,9100399
GRV-3342,9/1/2016 0:00:00,42.913956173,24,9100399
GRV-3342,9/2/2016 0:00:00,42.951387256,24,9100399
GRV-3342,9/3/2016 0:00:00,43.005541159,24,9100399
GRV-3342,9/4/2016 0:00:00,43.045437602,24,9100399
GRV-3342,9/5/2016 0:00:00,43.047670251,24,9100399
GRV-3342,9/6/2016 0:00:00,43.041077706,24,9100399
GRV-3342,9/7/2016 0:00:00,43.045502651,24,9100399
GRV-3342,9/8/2016 0:00:00,43.026883475,24,9100399
GRV-3342,9/9/2016 0:00:00,43.042525451,24,9100399
GRV-3342,9/10/2016 0:00:00,43.068703863,24,9100399
GRV-3342,9/11/2016 0:00:00,43.086986317,24,9100399
GRV-3342,9/12/2016 0:00:00,43.118038809,24,9100399
GRV-3342,9/13/2016 0:00:00,43.137504664,24,9100399
GRV-3342,9/14/2016 0:00:00,43.126825412,24,9100399
GRV-3342,9/15/2016 0:00:00,43.130826660,24,9100399
GRV-3342,9/16/2016 0:00:00,43.171858338,24,9100399
GRV-3342,9/17/2016 0:00:00,43.171693022,24,9100399
GRV-3342,9/18/2016 0:00:00,43.147470128,24,9100399
GRV-3342,9/19/2016 0:00:00,43.145753084,24,9100399
GRV-3342,9/20/2016 0:00:00,43.204379556,24,9100399
GRV-3342,9/21/2016 0:00:00,43.218203381,24,9100399
GRV-3342,9/22/2016 0:00:00,43.226485113,24,9100399
GRV-3342,9/23/2016 0:00:00,43.232748242,24,9100399
GRV-3342,9/24/2016 0:00:00,43.248087422,24,9100399
GRV-3342,9/25/2016 0:00:00,43.266463919,24,9100399
GRV-3342,9/26/2016 0:00:00,43.271421506,24,9100399
GRV-3342,9/27/2016 0:00:00,43.249401267,24,9100399
GRV-3342,9/28/2016 0:00:00,43.261185790,24,9100399
GRV-3342,9/29/2016 0:00:00,43.296348893,24,9100399
GRV-3342,9/30/2016 0:00:00,43.323647314,24,9100399
GRV-3342,10/1/2016 0:00:00,43.352537009,24,9100399
GRV-3342,10/2/2016 0:00:00,43.359293772,24,9100399
GRV-3342,10/3/2016 0:00:00,43.361152051,24,9100399
GRV-3342,10/4/2016 0:00:00,43.403085118,24,9100399
GRV-3342,10/5/2016 0:00:00,43.425285727,24,9100399
GRV-3342,10/6/2016 0:00:00,43.431892297,24,9100399
GRV-3342,10/7/2016 0:00:00,43.409388421,16,9100399
GRV-3342,10/8/2016 0:00:00,43.355750322,24,9100399
GRV-3342,10/9/2016 0:00:00,43.479607650,24,9100399
GRV-3342,10/10/2016 0:00:00,43.528677460,24,9100399
GRV-3342,10/11/2016 0:00:00,43.538275318,24,9100399
GRV-3342,10/12/2016 0:00:00,43.508961393,24,9100399
GRV-3342,10/13/2016 0:00:00,43.493226068,24,9100399
GRV-3342,10/14/2016 0:00:00,43.560792177,24,9100399
GRV-3342,10/15/2016 0:00:00,43.580738946,24,9100399
GRV-3342,10/16/2016 0:00:00,43.555872196,24,9100399
GRV-3342,10/17/2016 0:00:00,43.535264798,24,9100399
GRV-3342,10/18/2016 0:00:00,43.558852682,24,9100399
GRV-3342,10/19/2016 0:00:00,43.601763400,24,9100399
GRV-3342,10/20/2016 0:00:00,43.595901164,24,9100399
GRV-3342,10/21/2016 0:00:00,43.554835975,24,9100399
GRV-3342,10/22/2016 0:00:00,43.646443980,24,9100399
GRV-3342,10/23/2016 0:00:00,43.706512889,24,9100399
GRV-3342,10/24/2016 0:00:00,43.690845024,11,9100399
GRV-3342,10/25/2016 0:00:00,43.743623605,24,9100399
GRV-3342,10/26/2016 0:00:00,43.756677473,24,9100399
GRV-3342,10/27/2016 0:00:00,43.741750292,24,9100399
GRV-3342,10/28/2016 0:00:00,43.747303654,24,9100399
GRV-3342,10/29/2016 0:00:00,43.773499138,24,9100399
GRV-3342,10/30/2016 0:00:00,43.757468776,24,9100399
GRV-3342,10/31/2016 0:00:00,43.783018263,24,9100399
GRV-3342,11/1/2016 0:00:00,43.848146619,24,9100399
GRV-3342,11/2/2016 0:00:00,43.865696605,24,9100399
GRV-3342,11/3/2016 0:00:00,43.829177468,24,9100399
GRV-3342,11/4/2016 0:00:00,43.842599242,24,9100399
GRV-3342,11/5/2016 0:00:00,43.922895497,24,9100399
GRV-3342,11/6/2016 0:00:00,43.920329954,24,9100399
GRV-3342,11/7/2016 0:00:00,43.955389589,24,9100399
GRV-3342,11/8/2016 0:00:00,43.929148951,24,9100399
GRV-3342,11/9/2016 0:00:00,43.888034151,24,9100399
GRV-3342,11/10/2016 0:00:00,43.965856734,24,9100399
GRV-3342,11/11/2016 0:00:00,43.942028201,24,9100399
GRV-3342,11/12/2016 0:00:00,44.045963972,24,9100399
GRV-3342,11/13/2016 0:00:00,44.036104426,24,9100399
GRV-3342,11/14/2016 0:00:00,43.986744463,24,9100399
GRV-3342,11/15/2016 0:00:00,44.000023155,24,9100399
GRV-3342,11/16/2016 0:00:00,44.044602960,24,9100399
GRV-3342,11/17/2016 0:00:00,44.107531531,24,9100399
GRV-3342,11/18/2016 0:00:00,44.125772043,24,9100399
GRV-3342,11/19/2016 0:00:00,44.100250442,24,9100399
GRV-3342,11/20/2016 0:00:00,44.148773964,24,9100399
GRV-3342,11/21/2016 0:00:00,44.160848555,24,9100399
GRV-3342,11/22/2016 0:00:00,44.211656539,24,9100399
GRV-3342,11/23/2016 0:00:00,44.221870241,24,9100399
GRV-3342,11/24/2016 0:00:00,44.214641872,24,9100399
GRV-3342,11/25/2016 0:00:00,44.232085738,24,9100399
GRV-3342,11/26/2016 0:00:00,44.258992292,24,9100399
GRV-3342,11/27/2016 0:00:00,44.285398265,24,9100399
GRV-3342,11/28/2016 0:00:00,44.271046218,14,9100399
GRV-3342,11/29/2016 0:00:00,44.212052984,24,9100399
GRV-3342,11/30/2016 0:00:00,44.254765367,24,9100399
GRV-3342,12/1/2016 0:00:00,44.312652360,24,9100399
GRV-3342,12/2/2016 0:00:00,44.393133718,24,9100399
GRV-3342,12/3/2016 0:00:00,44.408063393,24,9100399
GRV-3342,12/4/2016 0:00:00,44.400313577,24,9100399
GRV-3342,12/5/2016 0:00:00,44.358362585,24,9100399
GRV-3342,12/6/2016 0:00:00,44.355954031,24,9100399
GRV-3342,12/7/2016 0:00:00,,24,9100399
GRV-3342,12/8/2016 0:00:00,,22,9100399
GRV-3342,12/9/2016 0:00:00,,11,9100399
GRV-3342,12/10/2016 0:00:00,,12,9100399
GRV-3342,12/11/2016 0:00:00,,14,9100399
GRV-3342,12/12/2016 0:00:00,,24,9100399
GRV-3342,12/13/2016 0:00:00,,24,9100399
GRV-3342,12/14/2016 0:00:00,,24,9100399
GRV-3342,12/15/2016 0:00:00,,22,9100399
GRV-3342,12/16/2016 0:00:00,,4,9100399
GRV-3342,12/17/2016 0:00:00,,24,9100399
GRV-3342,12/18/2016 0:00:00,,24,9100399
GRV-3342,12/19/2016 0:00:00,,24,9100399
GRV-3342,12/20/2016 0:00:00,,24,9100399
GRV-3342,12/21/2016 0:00:00,,15,9100399
GRV-3342,12/22/2016 0:00:00,,24,9100399
GRV-3342,12/23/2016 0:00:00,,24,9100399
GRV-3342,12/24/2016 0:00:00,,24,9100399
GRV-3342,12/25/2016 0:00:00,,24,9100399
GRV-3342,12/26/2016 0:00:00,,24,9100399
GRV-3342,12/27/2016 0:00:00,,24,9100399
GRV-3342,12/28/2016 0:00:00,,24,9100399
GRV-3342,12/29/2016 0:00:00,,9,9100399
GRV-3342,12/30/2016 0:00:00,44.863380213,24,9100399
GRV-3342,12/31/2016 0:00:00,44.890563327,24,9100399
GRV-3342,1/1/2017 0:00:00,44.896251106,24,9100399
GRV-3342,1/2/2017 0:00:00,44.915102364,24,9100399
GRV-3342,1/3/2017 0:00:00,44.830369267,24,9100399
GRV-3342,1/4/2017 0:00:00,44.878274921,24,9100399
GRV-3342,1/5/2017 0:00:00,44.953727231,24,9100399
GRV-3342,1/6/2017 0:00:00,44.972656160,24,9100399
GRV-3342,1/7/2017 0:00:00,45.035282405,24,9100399
GRV-3342,1/8/2017 0:00:00,45.113738268,24,9100399
GRV-3342,1/9/2017 0:00:00,45.104388980,24,9100399
GRV-3342,1/10/2017 0:00:00,45.049556602,24,9100399
GRV-3342,1/11/2017 0:00:00,45.045568135,24,9100399
GRV-3342,1/12/2017 0:00:00,45.090725594,24,9100399
GRV-3342,1/13/2017 0:00:00,45.142266894,24,9100399
GRV-3342,1/14/2017 0:00:00,45.156549892,24,9100399
GRV-3342,1/15/2017 0:00:00,45.116666727,24,9100399
GRV-3342,1/16/2017 0:00:00,45.174042346,24,9100399
GRV-3342,1/17/2017 0:00:00,45.154029369,24,9100399
GRV-3342,1/18/2017 0:00:00,45.143378000,24,9100399
GRV-3342,1/19/2017 0:00:00,45.192859164,24,9100399
GRV-3342,1/20/2017 0:00:00,45.163444317,24,9100399
GRV-3342,1/21/2017 0:00:00,45.192841531,24,9100399
GRV-3342,1/22/2017 0:00:00,45.148349651,24,9100399
GRV-3342,1/23/2017 0:00:00,45.119771055,24,9100399
GRV-3342,1/24/2017 0:00:00,45.299089847,24,9100399
GRV-3342,1/25/2017 0:00:00,45.306478665,24,9100399
GRV-3342,1/26/2017 0:00:00,45.292193764,24,9100399
GRV-3342,1/27/2017 0:00:00,45.353221243,24,9100399
GRV-3342,1/28/2017 0:00:00,45.346265202,24,9100399
GRV-3342,1/29/2017 0:00:00,45.340535913,24,9100399
GRV-3342,1/30/2017 0:00:00,45.374154527,9,9100399
GRV-3342,1/31/2017 0:00:00,45.394474719,24,9100399
GRV-3342,2/1/2017 0:00:00,45.425866731,24,9100399
GRV-3342,2/2/2017 0:00:00,45.458626256,24,9100399
GRV-3342,2/3/2017 0:00:00,45.476161709,24,9100399
GRV-3342,2/4/2017 0:00:00,45.523945139,24,9100399
GRV-3342,2/5/2017 0:00:00,45.441983692,24,9100399
GRV-3342,2/6/2017 0:00:00,45.487066123,24,9100399
GRV-3342,2/7/2017 0:00:00,45.464835406,24,9100399
GRV-3342,2/8/2017 0:00:00,45.455199900,24,9100399
GRV-3342,2/9/2017 0:00:00,45.546042080,24,9100399
GRV-3342,2/10/2017 0:00:00,45.630730594,24,9100399
GRV-3342,2/11/2017 0:00:00,45.542484043,24,9100399
GRV-3342,2/12/2017 0:00:00,45.546688442,24,9100399
GRV-3342,2/13/2017 0:00:00,45.620170985,24,9100399
GRV-3342,2/14/2017 0:00:00,45.593334450,24,9100399
GRV-3342,2/15/2017 0:00:00,45.539091743,24,9100399
GRV-3342,2/16/2017 0:00:00,45.659257015,24,9100399
GRV-3342,2/17/2017 0:00:00,45.674469773,24,9100399
GRV-3342,2/18/2017 0:00:00,45.677729922,24,9100399
GRV-3342,2/19/2017 0:00:00,45.710836372,24,9100399
GRV-3342,2/20/2017 0:00:00,45.748018576,24,9100399
GRV-3342,2/21/2017 0:00:00,45.738913969,24,9100399
GRV-3342,2/22/2017 0:00:00,45.709860179,24,9100399
GRV-3342,2/23/2017 0:00:00,45.729275767,24,9100399
GRV-3342,2/24/2017 0:00:00,45.755042593,24,9100399
GRV-3342,2/25/2017 0:00:00,45.737599561,24,9100399
GRV-3342,2/26/2017 0:00:00,45.857756377,24,9100399
GRV-3342,2/27/2017 0:00:00,45.870606676,24,9100399
GRV-3342,2/28/2017 0:00:00,45.838688811,24,9100399
GRV-3342,3/1/2017 0:00:00,45.780635764,24,9100399
GRV-3342,3/2/2017 0:00:00,45.867444235,24,9100399
GRV-3342,3/3/2017 0:00:00,45.937473713,24,9100399
GRV-3342,3/4/2017 0:00:00,45.946765276,24,9100399
GRV-3342,3/5/2017 0:00:00,45.929299912,24,9100399
GRV-3342,3/6/2017 0:00:00,45.931907459,24,9100399
GRV-3342,3/7/2017 0:00:00,45.916876130,24,9100399
GRV-3342,3/8/2017 0:00:00,45.939191626,24,9100399
GRV-3342,3/9/2017 0:00:00,45.956537231,24,9100399
GRV-3342,3/10/2017 0:00:00,45.924336631,24,9100399
GRV-3342,3/11/2017 0:00:00,46.018246064,24,9100399
GRV-3342,3/12/2017 0:00:00,46.022075414,23,9100399
GRV-3342,3/13/2017 0:00:00,46.006690047,24,9100399
GRV-3342,3/14/2017 0:00:00,45.932388239,24,9100399
GRV-3342,3/15/2017 0:00:00,46.068932115,24,9100399
GRV-3342,3/16/2017 0:00:00,46.088607777,24,9100399
GRV-3342,3/17/2017 0:00:00,46.092780214,24,9100399
GRV-3342,3/18/2017 0:00:00,46.035805022,24,9100399
GRV-3342,3/19/2017 0:00:00,46.108483539,24,9100399
GRV-3342,3/20/2017 0:00:00,46.115055522,24,9100399
GRV-3342,3/21/2017 0:00:00,46.077999263,24,9100399
GRV-3342,3/22/2017 0:00:00,46.145414267,24,9100399
GRV-3342,3/23/2017 0:00:00,46.224803738,24,9100399
GRV-3342,3/24/2017 0:00:00,46.189075814,24,9100399
GRV-3342,3/25/2017 0:00:00,46.163153116,24,9100399
GRV-3342,3/26/2017 0:00:00,46.167804626,24,9100399
GRV-3342,3/27/2017 0:00:00,46.180651581,24,9100399
GRV-3342,3/28/2017 0:00:00,46.179109920,24,9100399
GRV-3342,3/29/2017 0:00:00,46.239428015,16,9100399
GRV-3342,3/30/2017 0:00:00,46.235541826,24,9100399
GRV-3342,3/31/2017 0:00:00,46.173519172,24,9100399
GRV-3342,4/1/2017 0:00:00,46.281252393,24,9100399
GRV-3342,4/2/2017 0:00:00,46.308338338,23,9100399
GRV-3342,4/3/2017 0:00:00,46.244269063,24,9100399
GRV-3342,4/4/2017 0:00:00,46.237167159,24,9100399
GRV-3342,4/5/2017 0:00:00,46.307093981,11,9100399
GRV-3342,4/6/2017 0:00:00,46.232984581,24,9100399
GRV-3342,4/7/2017 0:00:00,46.346514584,24,9100399
